"Study","System","Site","...4","Toxi Group","Relationship","r","r^2","n","Effect size","Variance","Standard Error"
"Hung et al. (2023)",NA,NA,NA,"Hg","Growth",NA,NA,4,-1.2535723208431,0.534481034866553,0.731082098581652
"Hu et al. 2024",NA,NA,NA,"PCBs","Growth",NA,NA,3,-0.0863858237653113,0.444893816890294,0.667003610852516
"Roy et al., 2022",NA,NA,NA,"PCBs","Growth",NA,NA,1,1.66455184791621,0.33658540170004,0.580159807035992
"Oger et al., 2025",NA,NA,NA,"Hg","Growth",NA,NA,2,-0.778518430778899,0.322728648143283,0.568092112375522
" Johnston, et al., 2001","Freshwater","Lake Clay",NA,"Hg","Size",0.591607978309962,0.35,44,0.68013627036502,0.024390243902439,0.156173761888606
"Hammerschmidt, et al., 1999","Freshwater","Four Wisconsin Lakes",NA,"Hg","Size",0.847008439585441,0.717423296728963,5,1.24546989517738,0.5,0.707106781186548
"Harried, et al., 2020","Freshwater","Lower Trinity River",NA,"Hg","Size",0.728010988928052,0.53,42,0.924482321834023,0.0256410256410256,0.160128153805087
"Bodiguel, et al., 2009","Freshwater","Gulf of Lions",NA,"PCBs","Size",0.48,0.2304,45,0.522984277591344,0.0238095238095238,0.154303349962092
"Nowosad, et al., 2018","Freshwater","Baltic Sea basin",NA,"Hg","Size",0.526972485050216,0.2777,37,0.585944364078219,0.0294117647058824,0.171498585142509
"Sackett, et.al, 2013","Freshwater","Six waterbodies in N. Carolina",NA,"Hg","Size",0.479583152331272,0.23,32,0.522442776341116,0.0344827586206897,0.185695338177052
"Fisk and Johnston, 1998","Freshwater","Lake Manitoba",NA,"PCBs","Size",0.728010988928052,0.53,20,0.924482321834023,0.0588235294117647,0.242535625036333
"Larsson, et al. 1993","Freshwater","Lake in southern Scandinavia",NA,"PCBs","Size",-0.303305043117755,0.0919939491806632,14,-0.313155497298376,0.0909090909090909,0.301511344577764
"Kampire, et al., 2015","Freshwater","North End Lake (Carp)",NA,"PCBs","Size",0.33,0.1089,48,0.342828254415394,0.0222222222222222,0.149071198499986
"Martins et al., 2022",NA,NA,NA,"Hg","Size",-0.5,0.25,5,-0.549306144334055,0.5,0.707106781186548
"Mille et al. (2021)",NA,NA,NA,"Hg","Size",0.128300609831965,0.016461046483254,16,0.129011633101832,0.0769230769230769,0.277350098112615
"Acosta-Lizarraga, et al., 2020",NA,"Gulf of California","Gonads","Hg","Muscle",-0.039176024533281,0.00153476089823223,60,-0.0391960849528262,0.0175438596491228,0.132453235706504
"Hauser-Davis, et al., 2020",NA,"Rio de Janeiro","Embryo","Hg","Muscle",0.532932557455029,0.284017110795558,13,0.594232110122688,0.1,0.316227766016838
"Harried, et al., 2020",NA,"lower Trinity River (LTR), Texas","Eggs","Hg","Muscle",0.793725393319377,0.6297,15,1.08142081909353,0.0833333333333333,0.288675134594813
"Khadra, et al., 2019",NA,"Lake Saint-Pierre Quebec, Canada","Gonads","Hg","Muscle",0.80541914553852,0.6487,44,1.11385013827737,0.024390243902439,0.156173761888606
"Nowosad, et al., 2018",NA,"Baltic Sea basin","Ovaries","Hg","Muscle",0.888819441731559,0.79,46,1.41627587403432,0.0232558139534884,0.152498570332605
"Jankovska, et al., 2014",NA,"Prague","Gonads","Hg","Muscle",0.34439519146103,0.118608047901479,8,0.359070668861058,0.2,0.447213595499958
"Sackett, et al., 2013",NA,"Adger","Eggs","Hg","Muscle",0.936,0.876096,8,1.70474809223843,0.2,0.447213595499958
"Drevnick, et al., 2006",NA,"Connecticut River","Eggs","Hg","Muscle",0.966953980290686,0.935,16,2.04317014778969,0.0769230769230769,0.277350098112615
"Hammerschmidt, et al., 2005",NA,"Laboratory","Eggs","Hg","Muscle",0.969535971483266,0.94,39,2.08450332591383,0.0277777777777778,0.166666666666667
"Johnston, et al., 2001",NA,"Clay Lake","Eggs","Hg","Muscle",0.626,0.391876,21,0.734811246346612,0.0555555555555556,0.235702260395516
"Mauk, et al., 2001",NA,"Lake Oahe","Gonads","Hg","Muscle",0.49,0.2401,18,0.536060336610567,0.0666666666666667,0.258198889747161
"Latif, et al., 2001",NA,"Clay Lake","Eggs","Hg","Muscle",0.52,0.2704,14,0.576339754969193,0.0909090909090909,0.301511344577764
"Brim, et al., 2001",NA,"Apalachicola River, FL","Ovaries","Hg","Muscle",0.82,0.6724,11,1.15681746459032,0.125,0.353553390593274
"Hammerschmidt, et al., 1999",NA,"Vandercook","Eggs","Hg","Muscle",0.891561467247728,0.794881849880922,13,1.42948722303568,0.1,0.316227766016838
"Fonds, et al., 1995",NA,"Laboratory","Eggs","PCBs","Muscle",0.73,0.5329,10,0.928727364246725,0.142857142857143,0.377964473009227
"Loizeau, et al., 1994",NA,"Baie de Seine","Gonads","PCBs","Muscle",0.943118553144889,0.889472605286108,4,1.76554012044234,1,1
"Miller, 1993",NA,"Chinook Salmon","Eggs","PCBs","Muscle",0.818535277187245,0.67,18,1.1523626965757,0.0666666666666667,0.258198889747161
"Larsson, et al., 1993",NA,"Scandinavian lake","Gonads","PCBs","Muscle",0.59,0.3481,14,0.677666067757962,0.0909090909090909,0.301511344577764
"Mac, et al., 1993",NA,"Great Lakes","Eggs","PCBs","Muscle",0.928700101117459,0.862483877815579,7,1.64885331151073,0.25,0.5
"Mille et al. (2021)",NA,NA,NA,"Hg","Size",0.128300609831965,0.016461046483254,16,0.129011633101832,0.0769230769230769,0.277350098112615
"Malinowski, et al., 2021",NA,NA,NA,"Hg","Muscle",0.387298334620742,0.15,29,0.408617676406333,0.0384615384615385,0.196116135138184
